SPDES_Permit,County,Receiving_Waterbody,Drainage_Basin,Stream_Class,Year_Built,Year_Updated,Plant_Class,Population_Served
NY0000078,DELAWARE,DELAWARE RIVER-W BR,14,,,,,
NY0000132,SUFFOLK,PECONIC RIVER,17,SC,4/20/1905,6/22/1905,4A,0
NY0000167,SUFFOLK,LONG ISLAND SOUND,17,SA,4/23/1905,6/19/1905,2A,2050
NY0000191,ST LAWRENCE,OSWEGATCHIE RIVER,9,B,6/7/1905,6/12/1905,1,4600
NY0000281,LEWIS,MILL CREEK,8,C,4/22/1905,6/16/1905,1,3500
NY0000311,MONROE,OATKA CREEK,4,B,5/21/1905,6/21/1905,2A,3200
NY0000329,SCHENECTADY,MOHAWK RIVER,12,A,4/23/1905,6/21/1905,3,0
NY0000337,SUFFOLK,GREAT SOUTH BAY,17,SA,3/31/1905,5/31/1905,2,10000
NY0000345,SARATOGA,GROUNDWATER,11,GA,4/19/1905,6/6/1905,1,300
NY0000400,ESSEX,LAKE CHAMPLAIN,10,A,5/25/1905,,2A,1200
NY0000418,ESSEX,SCHROON LAKE,11,AA(T),5/26/1905,,2A,2950
NY0000426,ONEIDA,SCONONDOA CREEK,7,C(T),5/25/1905,,2A,1450
NY0000442,OSWEGO,SALMON RIVER,3,C(T),5/24/1905,6/24/1905,2A,2500
NY0000469,DELAWARE,DELAWARE RIVER-WEST BRANC,14,C(T),5/27/1905,6/24/1905,2,3208
NY0000493,ORANGE,QUAKER CREEK,13,C,5/26/1905,,3,0
NY0000515,LEWIS,BLACK RIVER,8,C,5/25/1905,6/14/1905,1,250
NY0000523,MONTGOMERY,MOHAWK RIVER,12,C,5/26/1905,6/21/1905,4A,22000
NY0000540,WAYNE,WOLCOTT CREEK SUBTRIB,3,C,5/24/1905,,2A,1600
NY0000558,ONTARIO,SULFUR CREEK,7,D,5/25/1905,6/21/1905,2A,2000
NY0000566,STEUBEN,CANISTEO RIVER,5,C,5/25/1905,6/22/1905,2,3800
NY0000574,CAYUGA,OWASCO OUTLET,7,C,5/19/1905,6/25/1905,2A,1400
NY0000612,NASSAU,BANNISTER CREEK,17,SC,4/16/1905,5/19/1905,2,6513
NY0000728,ERIE,NIAGARA RIVER,1,A(S),4/23/1905,,1,16136
NY0000736,GREENE,HUDSON RIVER,13,A,5/23/1905,,2,0
NY0000744,SARATOGA,HUDSON RIVER,11,C,5/26/1905,,2,3700
NY0000779,NIAGARA,LAKE ONTARIO,3,A,5/13/1905,6/9/1905,2,1250
NY0000825,ORANGE,MINERAL SPRING BK TRIB,13,C,5/19/1905,6/16/1905,2A,400
NY0000850,HERKIMER,MOHAWK RIVER,12,B,5/23/1905,6/10/1905,2A,7949
NY0000906,ONEIDA,MILL CREEK,8,C,4/20/1905,6/21/1905,3A,2500
NY0000957,CATTARAUGUS,ALLEGHENY RIVER,2,C,5/24/1905,,3A,6400
NY0000973,SCHENECTADY,MOHAWK RIVER,12,A,5/7/1905,5/28/1905,4A,60000
NY0001007,SCHUYLER,SENECA LAKE,7,B(T),4/19/1905,6/21/1905,3A,2490
NY0001015,ONONDAGA,NINE MILE CREEK,7,C(T),5/12/1905,6/23/1905,2A,0
NY0001023,ERIE,ELLICOTT CREEK,1,C,5/13/1905,6/7/1905,3,3500
NY0001031,CAYUGA,COLD SPRINGS BROOK,7,C,5/19/1905,,2A,2000
NY0001147,NASSAU,REYNOLDS CHANNEL,17,SB,5/4/1905,6/25/1905,3,35000
NY0001163,ALLEGANY,GENESEE RIVER,4,C(T),4/20/1905,6/19/1905,3,5200
NY0001198,MONROE,NORTHRUP CREEK,3,C,4/14/1905,6/8/1905,3A,4000
NY0001201,OSWEGO,OSWEGO RIVER,7,B,5/17/1905,6/1/1905,2A,2800
NY0001295,MADISON,PAYNE BROOK,6,C,5/21/1905,6/9/1905,3A,0
NY0001325,ERIE,LAKE ERIE,1,A(S),5/3/1905,6/6/1905,2,7000
NY0001333,ST LAWRENCE,RAQUETTE RIVER,9,B,5/22/1905,6/21/1905,3A,10000
NY0001368,CHAUTAUQUA,CHAUTAUQUA LAKE,2,A,6/1/1905,,2,3500
NY0001406,CLINTON,LAKE CHAMPLAIN-CUMBERLAND,10,A,5/9/1905,5/30/1905,2,800
NY0001490,GREENE,HUDSON RIVER,13,A,5/24/1905,,2A,1700
NY0001538,GREENE,HUDSON RIVER,13,A,5/24/1905,,2A,1750
NY0001562,GENESEE,OAK ORCHARD CREEK TRIB,3,C,5/24/1905,6/23/1905,1,750
NY0001601,ONEIDA,ORISKANY CREEK,12,B(TS),6/12/1905,6/24/1905,1,850
NY0001635,JEFFERSON,BLACK RIVER,8,C,5/14/1905,6/4/1905,1A,400
NY0001643,TOMPKINS,CAYUGA LAKE,7,A,5/9/1905,5/27/1905,4A,18000
NY0001694,CATTARAUGUS,DODGE CREEK,2,C,5/4/1905,6/10/1905,1,0
NY0001732,ESSEX,SUMNER BROOK,10,C(T),6/8/1905,6/13/1905,1,500
NY0001741,CHAUTAUQUA,CHAUTAUQUA CREEK,1,C(T),5/29/1905,6/10/1905,4A,3265
NY0001791,SUFFOLK,HUNTINGTON HARBOR,17,SA,3/29/1905,6/9/1905,3,26500
NY0001856,HERKIMER,MOOSE RIVER-MIDDLE BRANCH,8,C(T),5/16/1905,6/4/1905,2A,1200
NY0001899,ST LAWRENCE,RAQUETTE RIVER,9,B,5/23/1905,,1,1879
NY0001902,ONEIDA,FISH CREEK-W BR,7,C(T),5/26/1905,6/7/1905,2A,2700
NY0001945,ONEIDA,ORISKANY CREEK,12,B(TS),4/22/1905,6/2/1905,3A,6000
NY0001988,JEFFERSON,ST LAWRENCE RIVER,9,A,5/23/1905,,2A,683
NY0002097,CHENANGO,CHENANGO RIVER,6,B,5/24/1905,6/8/1905,2,2000
NY0002101,CHENANGO,CHENANGO RIVER,6,C,5/16/1905,6/11/1905,3,8500
NY0002127,STEUBEN,COHOCTON RIVER,5,C,4/18/1905,6/16/1905,3A,5600
NY0002143,CHENANGO,CHENANGO RIVER,6,B(T),5/24/1905,6/21/1905,2,2000
NY0002178,ERIE,SPRING BROOK,1,C(T),5/14/1905,5/26/1905,3,4300
NY0002186,WAYNE,LAKE ONTARIO TRIB,3,C,5/25/1905,6/12/1905,3A,1904
NY0002232,WYOMING,OATKA CREEK,4,C,4/22/1905,6/20/1905,2,3600
NY0002241,ULSTER,WALLKILL RIVER,13,B,4/22/1905,6/4/1905,2A,2500
NY0002267,MADISON,CHITTENANGO CREEK,7,C(T),6/7/1905,,3A,4800
NY0002275,WASHINGTON,METTAWEE RIVER,10,C(T),4/20/1905,5/29/1905,1,2646
NY0002321,DELAWARE,DELAWARE RIVER-WEST BRANC,14,C(T),5/28/1905,6/24/1905,3A,1287
NY0002330,ULSTER,ESOPUS CREEK,13,B,5/26/1905,,3,5500
NY0002372,ULSTER,HUDSON RIVER,13,A,5/16/1905,6/8/1905,2,475
NY0002399,DUTCHESS,WAPPINGERS CREEK SUBTRIB,13,B,5/14/1905,,1A,0
NY0002402,MONROE,LAKE ONTARIO,3,A,5/22/1905,6/4/1905,4A,33000
NY0002461,ESSEX,SARANAC RIVER,10,C,4/15/1905,5/26/1905,4A,7500
NY0002518,SUFFOLK,PORT JEFFERSON HARBOR,17,SA,4/1/1905,6/10/1905,2,0
NY0002551,COLUMBIA,KINDERHOOK CREEK,13,C,6/1/1905,,2A,1800
NY0002577,NASSAU,OYSTER BAY,17,SA,5/18/1905,6/14/1905,2,8500
NY0002585,CLINTON,LAKE CHAMPLAIN,10,A,6/8/1905,6/25/1905,3A,2285
NY0002607,WYOMING,TONAWANDA CREEK,1,A,6/8/1905,,3,6300
NY0002712,ERIE,CAYUGA CREEK,1,B,5/19/1905,6/13/1905,2A,174
NY0002755,SCHUYLER,CATHARINE CK & CHEMUNG CA,7,C(T),5/14/1905,6/14/1905,2,1800
NY0002763,ORLEANS,OAK ORCHARD CREEK,3,C,5/18/1905,6/8/1905,3,6500
NY0002810,ORANGE,LONG HOUSE CREEK TRIB,13,B(T),6/10/1905,,3A,0
NY0002836,CAYUGA,OWASCO OUTLET,7,C,4/20/1905,6/15/1905,4A,40000
NY0002852,ST LAWRENCE,RAQUETTE RIVER,9,B,5/23/1905,,2A,550
NY0002909,COLUMBIA,HUDSON RIVER,13,A,5/19/1905,6/2/1905,3A,7800
NY0002917,DUTCHESS,STONY CREEK,13,C,4/22/1905,6/15/1905,2,700
NY0002933,ONEIDA,ONEIDA CREEK,7,C,5/15/1905,6/6/1905,2A,3000
NY0002941,NASSAU,MANHASSET BAY,17,SC,4/17/1905,6/10/1905,2,6000
NY0002950,ERIE,SMOKE CREEK,1,C,5/11/1905,6/4/1905,4A,22000
NY0002984,ORANGE,MOODNA CREEK,13,B(T),5/22/1905,,2,7500
NY0002992,ORANGE,MOODNA CREEK,13,B(T),5/19/1905,,2A,1000
NY0003042,ESSEX,CHUBB RIVER,10,C,5/26/1905,6/26/1905,4A,15000
NY0003077,CLINTON,SARANAC RIVER,10,C,6/3/1905,6/21/1905,1,4004
NY0003255,ALBANY,NORMANS KILL,13,B,5/28/1905,6/17/1905,3A,0
NY0003328,ALBANY,NORMANS KILL,13,B,5/28/1905,5/31/1905,4A,15000
NY0003336,NIAGARA,JEDDO CREEK TRIB,3,C,5/23/1905,6/21/1905,2,1876
NY0003344,ALLEGANY,CANACADEA CREEK,5,C,4/11/1905,6/9/1905,3A,8209
NY0003352,SENECA,SENECA RIVER/BARGE CANAL,7,C,5/24/1905,,2,5000
NY0003395,ALLEGANY,LITTLE GENESEE CREEK,2,C(T),4/11/1905,6/13/1905,2A,1250
NY0003433,HERKIMER,MOHAWK RIVER,12,C,5/25/1905,6/21/1905,3,5000
NY0003441,CHAUTAUQUA,SILVER CREEK,1,C(T),5/20/1905,,2A,1906
NY0003646,LIVINGSTON,SPRING BROOK,4,C,5/21/1905,6/25/1905,2,2459
NY0003689,ORANGE,MOODNA CREEK,13,B(T),5/13/1905,5/27/1905,3,25000
NY0003701,SULLIVAN,TANNERY BROOK,14,C,3/24/1905,6/6/1905,3A,8500
NY0003808,NASSAU,MOTTS CREEK,17,SC,4/17/1905,5/21/1905,2,7000
NY0003824,JEFFERSON,ST LAWRENCE RIVER,9,A,5/26/1905,6/13/1905,2A,10000
NY0003859,SCHOHARIE,COBLESKILL CREEK,12,C(T),5/12/1905,6/16/1905,2A,890
NY0003867,ERIE,BIG SISTER CREEK,1,B,5/17/1905,6/18/1905,4A,35420
NY0003875,WAYNE,CLYDE RIVER/BARGE CANAL,7,C,3/26/1905,5/23/1905,2A,4300
NY0003905,ORANGE,HUDSON RIVER,13,B,5/14/1905,6/11/1905,3,4000
NY0003956,ONTARIO,GREAT BROOK,7,C,5/7/1905,6/16/1905,2,2300
NY0003972,PUTNAM,HUDSON RIVER,13,B,5/25/1905,,2A,2500
NY0004057,TIOGA,SUSQUEHANNA RIVER,6,B,6/21/1905,,2,0
NY0004081,ROCKLAND,RAMAPO RIVER,15,A,4/18/1905,6/5/1905,4A,13000
NY0004103,CAYUGA,OWASCO LAKE INLET,7,C(T),5/24/1905,6/14/1905,3A,3000
NY0004138,ALBANY,HUDSON RIVER,13,C,5/24/1905,6/6/1905,2A,4300
NY0004146,ESSEX,LAKE CHAMPLAIN,10,A,5/17/1905,6/9/1905,1,4000
NY0004189,WYOMING,SILVER LAKE OUTLET,4,C,5/27/1905,6/17/1905,2,7400
NY0004219,ERIE,BUFFALO RIVER,1,B,5/8/1905,5/27/1905,1,105
NY0004243,ESSEX,WINE BROOK,11,C(T),5/15/1905,,2A,250
NY0004278,STEUBEN,CANISTEO RIVER,5,C,4/25/1905,6/16/1905,2A,2336
NY0004308,ORLEANS,SANDY CREEK-EAST BRANCH,3,C,5/25/1905,,2A,1800
NY0004405,ORANGE,OTTER KILL TRIB,13,C,4/20/1905,5/24/1905,2,0
NY0004413,SUFFOLK,LIS-SMITHTOWN BAY,17,SA,4/18/1905,5/24/1905,2A,0
NY0004421,HAMILTON,CEDAR RIVER,11,B(T),4/20/1905,5/24/1905,1A,520
NY0004430,ST LAWRENCE,RACQUETTE RIVER,9,B,5/25/1905,,2A,0
NY0004472,MONTGOMERY,MOHAWK RIVER,12,B,4/17/1905,6/17/1905,3A,0
NY0004502,SULLIVAN,NEVERSINK RIVER,14,B(T),6/5/1905,6/5/1905,1,4000
NY0004588,CHAUTAUQUA,SLIPPERY ROCK CREEK,1,C,6/5/1905,6/12/1905,3,2387
NY0004596,ALLEGANY,NEW OIL CREEK,2,C,5/17/1905,6/11/1905,3A,1800
NY0004600,NASSAU,EAST ROCKAWAY INLET,17,SA,4/10/1905,6/18/1905,2,5000
NY0004618,ONTARIO,MUD CREEK,7,C,5/14/1905,6/12/1905,4,9000
NY0004839,CAYUGA,PAINES CREEK,7,C,5/24/1905,,3A,900
NY0004880,CATTARAUGUS,GREAT VALLEY CREEK,2,C(T),5/25/1905,6/24/1905,1,20000
NY0004961,COLUMBIA,STONY KILL,13,C(TS),4/21/1905,6/5/1905,2A,2600
NY0005011,OTSEGO,SUSQUEHANNA RIVER,6,B,4/15/1905,6/12/1905,3,2500
NY0005037,ST LAWRENCE,RAQUETTE RIVER,9,B,5/25/1905,,2A,0
NY0005061,WAYNE,GANARGUA CREEK,7,C,5/23/1905,6/14/1905,2,2000
NY0005096,GENESEE,DRY BROOK,3,C,4/10/1905,6/1/1905,2A,1985
NY0005100,STEUBEN,CANISTEO RIVER,5,C(T),4/12/1905,6/8/1905,4A,10000
NY0005118,SCHOHARIE,SCHOHARIE CREEK,12,C,5/8/1905,5/24/1905,2A,1100
NY0005126,ORANGE,MOODNA CREEK,13,B(T),5/24/1905,6/14/1905,3A,7100
NY0005134,ORANGE,WAWAYANDA CREEK,13,C(T),5/16/1905,6/13/1905,3,6000
NY0005151,DELAWARE,FALL CLOVE STREAM,14,,,,,
NY0005177,ST LAWRENCE,OSWEGATCHIE RIVER,9,C,5/21/1905,,2A,600
NY0005193,STEUBEN,COHOCTON RIVER,5,C,5/18/1905,6/23/1905,3A,3000
NY0005231,SUFFOLK,PATCHOGUE CREEK,17,C,5/4/1905,6/9/1905,2,4000
NY0005240,CLINTON,LITTLE AUSABLE RIVER,10,C,4/22/1905,6/7/1905,2A,5000
NY0005266,WAYNE,CLYDE RIVER,7,C,5/25/1905,,2A,2300
NY0005282,SCHENECTADY,MOHAWK RIVER,12,A,5/18/1905,6/11/1905,3A,14000
NY0005304,BROOME,"LITTLE CHOCONUT CR, SUSQU",6,C,5/19/1905,6/24/1905,1,16000
NY0005347,LIVINGSTON,BIDWELLS CR OR SALT CREEK,4,C,5/11/1905,6/6/1905,2,300
NY0005487,ONTARIO,FISH CREEK,7,C(T),5/18/1905,6/13/1905,3,1700
NY0005525,SCHOHARIE,COBLESKILL CREEK,12,C,5/30/1905,6/12/1905,3A,8000
NY0005541,CAYUGA,CAYUGA LAKE,7,A(T),5/13/1905,6/4/1905,3A,1200
NY0005622,ULSTER,TWAALTSKILL STREAM,13,C,4/22/1905,6/2/1905,2,4000
NY0005649,MONTGOMERY,MOHAWK RIVER,12,B,5/26/1905,,3A,2100
NY0005665,LIVINGSTON,CANASERAGA CREEK,4,C(T),4/24/1905,5/31/1905,3A,5600
NY0005690,BROOME,SUSQUEHANNA RIVER,6,C,5/10/1905,6/25/1905,1,50000
NY0005720,BROOME,SUSQUEHANNA RIVER,6,A,5/13/1905,5/26/1905,4A,120000
NY0005754,ORANGE,WALLKILL RIVER,13,B,5/18/1905,6/11/1905,3A,0
NY0005801,ALLEGANY,GENESEE RIVER,4,C,5/21/1905,,2,2000
NY0005835,LIVINGSTON,GENESEE RIVER,4,C,3/26/1905,5/22/1905,3A,3200
NY0005843,NIAGARA,NIAGARA RIVER,1,A(S),5/12/1905,,1,3300
NY0005851,SULLIVAN,NEVERSINK RIVER,14,B(T),4/20/1905,6/4/1905,4,22000
NY0005878,SULLIVAN,EVANS LAKE,14,B,4/23/1905,6/7/1905,2,3700
NY0005894,HERKIMER,EAST CANADA CREEK,12,B(T),3/17/1905,5/25/1905,2,2452
NY0005908,ST LAWRENCE,GRASS RIVER,9,B,5/15/1905,,2A,800
NY0005916,ONTARIO,CANANDAIGUA OUTLET,7,C,5/17/1905,6/16/1905,2,2000
NY0005932,JEFFERSON,PLEASANT CREEK,9,C,5/24/1905,,2A,0
NY0005941,ORLEANS,JOHNSON CREEK,3,C,6/2/1905,,1,953
NY0005959,RENSSELAER,HOOSIC RIVER,11,C(T),5/24/1905,,2,3800
NY0006033,FRANKLIN,CHATEAUGAY RIVER,9,C(T),6/4/1905,6/13/1905,1,1000
NY0006050,SUFFOLK,NORTHPORT HARBOR,17,SA,5/25/1905,6/25/1905,2A,9000
NY0006092,TOMPKINS,TRUMANSBURG CREEK,7,C,5/17/1905,6/18/1905,3A,0
NY0006131,WASHINGTON,CHAMPLAIN CANAL,10,C,6/1/1905,,2A,3071
NY0006157,CLINTON,AUSABLE RIVER,10,C,5/21/1905,,1,2000
NY0006173,WAYNE,BARGE CANAL,7,C,5/14/1905,6/25/1905,2,3500
NY0006220,JEFFERSON,BLACK RIVER,8,C,5/28/1905,6/14/1905,4A,7000
NY0006262,CAYUGA,SENECA RIVER TRIB,7,C,5/17/1905,,1,0
NY0006297,MONROE,HONEOYE CREEK,4,B,4/19/1905,6/25/1905,2,2400
NY0006301,SCHENECTADY,MOHAWK RIVER,12,A,4/18/1905,5/31/1905,1,300
NY0006432,CHAUTAUQUA,LAKE ERIE,1,A(S),4/24/1905,6/8/1905,2A,1300
NY0006491,DUTCHESS,WAPPINGERS CREEK-E BRANCH,13,C(T),4/28/1905,5/24/1905,2A,1500
NY0006548,SULLIVAN,WILLOWEMOC CREEK,14,C(TS),5/22/1905,5/30/1905,2A,1500
NY0006629,YATES,BIG STREAM,7,D,4/11/1905,6/9/1905,2A,1600
NY0006645,ONONDAGA,LIMESTONE CREEK,7,C,4/20/1905,6/20/1905,3A,3745
NY0006734,TOMPKINS,OWASCO INLET,7,C(T),5/16/1905,5/29/1905,2A,2398
NY0006769,WAYNE,BLACK CREEK,7,C,5/27/1905,6/22/1905,3A,5000
NY0006777,STEUBEN,CHEMUNG RIVER,5,C,5/11/1905,6/21/1905,2,2200
NY0006785,STEUBEN,CHEMUNG RIVER,5,C,5/21/1905,6/23/1905,3,11500
NY0006807,ALBANY,HUDSON RIVER,13,C,5/26/1905,6/14/1905,3A,28000
NY0006815,ALBANY,HUDSON RIVER (013-033),13,C,,,1,0
NY0006823,ONEIDA,MOHAWK RIVER,12,C,5/24/1905,6/9/1905,4A,110000
NY0006840,TIOGA,SUSQUEHANNA RIVER,6,B,5/25/1905,6/24/1905,3A,0
NY0006866,CATTARAUGUS,CATTARAUGUS CR-SOUTH BRAN,1,C(T),6/8/1905,,1,500
NY0006874,ERIE,TONAWANDA CREEK,1,C,5/18/1905,6/2/1905,4A,115000
NY0006904,ONTARIO,CANANDAIGUA OUTLET TRIB,7,C,5/17/1905,6/2/1905,4,0
NY0006912,DUTCHESS,HUDSON RIVER,13,B,5/17/1905,5/25/1905,4A,13243
NY0007030,JEFFERSON,BLACK RIVER,8,C,5/18/1905,6/10/1905,4A,48000
NY0007048,CLINTON,SARANAC RIVER,10,C,5/26/1905,6/9/1905,4A,30000
NY0007056,RENSSELAER,HUDSON RIVER (002-010)(12,13,C,,,1,0
NY0007072,RENSSELAER,HUDSON RIVER,13,C,5/9/1905,6/13/1905,3A,0
NY0007129,FULTON,CAYADUTTA CREEK,12,C,5/25/1905,6/13/1905,4A,0
NY0007145,ROCKLAND,HUDSON RIVER,13,SB,5/12/1905,6/17/1905,4,51800
NY0007161,DUTCHESS,WAPPINGERS CREEK SUBTRIB,13,B,5/18/1905,6/11/1905,2A,75
NY0007170,DUTCHESS,WAPPINGERS CK TRIB (UNNAM,13,C,5/19/1905,6/13/1905,2A,519
NY0007226,RICHMOND,KILL VAN KULL,17,SD,5/6/1905,5/31/1905,4A,179430
NY0007242,QUEENS,JAMAICA BAY,17,SB,4/26/1905,5/30/1905,4A,648690
NY0007579,NEW YORK,EAST RIVER,17,I,4/20/1905,6/21/1905,4A,1013783
NY0007641,QUEENS,EAST RIVER,17,I,4/21/1905,5/30/1905,4A,723589
NY0007650,KINGS,UPPER NEW YORK BAY,17,I,5/5/1905,6/17/1905,4A,771367
NY0007668,RICHMOND,LOWER NEW YORK BAY-WEST,17,SB,5/9/1905,5/31/1905,4A,147713
NY0007676,KINGS,ROCKAWAY INLET,17,SB,3/6/1905,6/14/1905,4A,621157
NY0007943,BRONX,EAST RIVER,17,I,5/5/1905,5/30/1905,4A,669076
NY0008010,KINGS,EAST RIVER,17,I,5/20/1905,,4A,1024728
NY0008087,KINGS,HENDRIX CREEK CANAL,17,I,3/4/1905,5/30/1905,4A,274259
NY0008109,QUEENS,JAMAICA BAY,17,SB,5/5/1905,5/30/1905,4A,108530
NY0008133,QUEENS,EAST RIVER,17,I,4/22/1905,5/30/1905,4A,402658
NY0008150,NEW YORK,HUDSON RIVER,13,I,6/7/1905,,4A,575839
NY0008231,DUTCHESS,HUDSON RIVER,13,A,5/30/1905,6/12/1905,4A,40000
